date,price,bid,ask,bidSize,askSize
2022-06-18 11:21:07.872829914,1006.5,1006.5,1006.7,71.195,6.388
2022-06-18 11:21:07.903400183,1006.5,1006.5,1006.7,23.326,0.001
2022-06-18 11:21:07.933152199,1006.5,1006.5,1006.6,13.121,9.115
2022-06-18 11:21:07.978777647,1006.5,1006.5,1006.6,5.921,52.617
2022-06-18 11:21:08.003896236,1006.5,1006.5,1006.6,0.028,58.617
2022-06-18 11:21:08.022321939,1006.5,1006.5,1006.6,0.028,64.617
2022-06-18 11:21:08.049620152,1006.5,1006.5,1006.6,0.028,64.755
2022-06-18 11:21:08.081273317,1006.5,1006.4,1006.6,32.485,97.854
2022-06-18 11:21:08.116728783,1006.5,1006.4,1006.6,19.883,79.276
2022-06-18 11:21:08.136182547,1006.5,1006.4,1006.5,19.883,10.632
2022-06-18 11:21:08.165213346,1006.4,1006.4,1006.5,0.519,82.749
2022-06-18 11:21:08.207331419,1006.5,1006.4,1006.5,0.546,101.422
2022-06-18 11:21:08.239612818,1006.5,1006.4,1006.5,0.546,87.944
2022-06-18 11:21:08.263364553,1006.5,1006.4,1006.5,0.546,90.943
2022-06-18 11:21:08.290109158,1006.5,1006.4,1006.5,2.192,90.943
2022-06-18 11:21:08.353220701,1006.5,1006.4,1006.5,2.192,90.843
2022-06-18 11:21:08.375979424,1006.5,1006.4,1006.5,11.713,90.843
2022-06-18 11:21:08.428017139,1006.5,1006.4,1006.5,11.713,90.943
2022-06-18 11:21:08.478782177,1006.5,1006.4,1006.5,11.713,90.843
2022-06-18 11:21:08.530546665,1006.5,1006.4,1006.5,11.713,84.843
2022-06-18 11:21:08.582283020,1006.5,1006.4,1006.5,0.546,85.243
2022-06-18 11:21:08.603565454,1006.5,1006.4,1006.5,0.546,86.623
2022-06-18 11:21:08.630736589,1006.3,1006.3,1006.5,14.039,86.623
2022-06-18 11:21:08.655346870,1006.3,1006.3,1006.5,14.039,119.98
2022-06-18 11:21:08.685579062,1006.3,1006.3,1006.4,7.894,0.703
2022-06-18 11:21:08.708095312,1006.3,1006.3,1006.4,5.194,39.836
2022-06-18 11:21:08.735178471,1006.3,1006.3,1006.4,5.194,67.684
2022-06-18 11:21:08.764556646,1006.3,1006.1,1006.4,4.971,126.768
2022-06-18 11:21:08.793848991,1006.3,1006.1,1006.2,6.971,6.0
2022-06-18 11:21:08.850933075,1006.3,1006.1,1006.2,2.001,60.083
2022-06-18 11:21:08.878693104,1006.3,1006.1,1006.2,7.168,65.982
2022-06-18 11:21:08.906276464,1006.3,1006.1,1006.2,9.156,67.628
2022-06-18 11:21:08.926800013,1006.3,1006.1,1006.2,18.677,67.828
2022-06-18 11:21:08.954794645,1006.3,1006.1,1006.2,18.677,67.628
2022-06-18 11:21:09.051635742,1006.3,1006.1,1006.2,16.689,67.628
2022-06-18 11:21:09.078040361,1006.3,1006.1,1006.2,7.168,70.627
2022-06-18 11:21:09.101940632,1006.3,1006.1,1006.2,0.001,58.627
2022-06-18 11:21:09.152769566,1006.3,1006.1,1006.2,0.001,58.765
2022-06-18 11:21:09.179935932,1006.1,1006.0,1006.1,9.987,8.848
2022-06-18 11:21:09.213152885,1006.1,1006.0,1006.1,11.987,14.848
2022-06-18 11:21:09.239437103,1006.1,1006.0,1006.1,3.046,32.304
2022-06-18 11:21:09.267920017,1006.1,1006.0,1006.1,3.046,47.153
2022-06-18 11:21:09.287420988,1006.1,1006.0,1006.1,3.046,40.304
2022-06-18 11:21:09.327321291,1006.1,1006.0,1006.1,5.52,43.303
2022-06-18 11:21:09.449652910,1006.1,1006.0,1006.1,5.52,43.403
2022-06-18 11:21:09.579180717,1006.1,1006.0,1006.1,7.166,43.665
2022-06-18 11:21:09.692792416,1006.1,1006.0,1006.1,7.166,43.803
2022-06-18 11:21:09.711993933,1006.1,1006.0,1006.1,7.166,44.01
2022-06-18 11:21:09.785642385,1006.1,1006.0,1006.1,7.166,38.01
2022-06-18 11:21:09.815089941,1006.1,1006.0,1006.1,7.166,32.01
2022-06-18 11:21:09.909993649,1006.1,1006.0,1006.1,7.166,38.51
2022-06-18 11:21:09.934422255,1006.1,1006.0,1006.1,7.166,44.51
2022-06-18 11:21:09.966621637,1006.2,1006.0,1006.2,7.166,13.094
2022-06-18 11:21:09.999207497,1006.2,1006.0,1006.2,7.166,9.115
2022-06-18 11:21:10.023736238,1006.2,1006.0,1006.2,16.281,9.115
